Interview_Score,Skills_Matched,Shortlisted
8.730596841478741,3.2452028839008715,Yes
6.070918773238253,2.105575841137292,No
8.254655884450049,2.682728917600694,Yes
6.136731843102471,2.777710787553898,No
8.78592128071233,3.233439707336074,Yes
3.498676706225826,3.4531142438386175,No
7.650689935115975,2.1361211424316235,No
7.544514201733677,1.4481345623612543,Yes
8.253624884436265,2.6477660671226424,Yes
5.857786941864653,3.0453548927556433,No
8.582278552247557,3.0279167828666944,Yes
8.509381000173532,3.177111471876687,Yes
4.972511856387521,2.3258850008365153,No
8.93657734829748,3.8564218821773433,Yes
5.865541483553569,3.196683412416399,No
3.886729273117273,3.393096985174661,No
8.540108789244265,2.9722312104718824,Yes
7.530778457195687,1.5594782751305118,No
3.2363682669022893,3.2559920547500276,No
3.5765370341049447,4.65997362539011,No
8.594887305345758,2.942683685730864,Yes
8.849564065824428,3.709506062044342,Yes
8.087662641322066,2.5137828041979033,Yes
9.25453169075563,4.058358840035381,Yes
7.751396768978161,1.791657384271481,Yes
3.6690214470854094,3.6760807206873474,No
8.435778513048245,1.7992706610671632,No
8.475781850615943,2.8980461462619678,Yes
7.630983937186162,1.7206300262404763,No
2.9213842359608417,3.965723796487094,No
8.469548088440561,2.970299887543449,Yes
9.305859683249409,4.486683278390585,Yes
5.252200667319597,4.306036407618824,No
6.530362443241715,2.5316858718504323,No
8.546820815778567,3.0981998061018117,Yes
8.990615516570927,3.7040203410335755,Yes
9.060262344143105,3.9148647536103085,Yes
6.421712289074065,2.1864067956367164,No
4.719362618106716,2.9008405013518854,No
8.599785457120793,3.16980612894314,Yes
6.642275327052214,2.0793604704854487,No
5.123329275587401,4.281445428141228,No
9.279696831411904,4.136951201715878,Yes
2.98744196801308,3.6929040821924493,No
5.739273701768636,3.2622179622263006,No
8.077776481008073,2.311387735933687,Yes
6.035759974051662,3.01020515902709,No
5.795094802891605,2.626892625455638,No
5.2109179969136195,4.3068578256662144,No
7.349127312246118,0.9663120784609864,Yes
6.460414313683142,2.9008655202104805,No
6.416138799189756,2.900608216888958,No
5.121916768221336,3.4068489600511267,No
5.45299024656384,3.0084549847708963,No
3.030235812148777,3.873846615894077,No
9.337844283105884,4.278945888127901,Yes
6.415684539750346,3.0838917334610434,No
7.5352207351333345,1.4993355334188394,Yes
6.451306894352754,2.360449194132116,No
4.557118969741863,3.491764335411317,No
8.856494565079812,3.519132526563894,Yes
8.521012050542536,3.059851479537055,Yes
7.217777959563911,0.782353329929145,No
9.230153551192267,3.884131840910386,Yes
7.64353384218752,1.6748016422608156,Yes
8.768258251974409,3.3705249655251315,Yes
7.408061944931109,1.3445416062115234,Yes
3.5285052067780813,3.6908504473899235,No
4.815476142520172,3.990221978650694,No
8.612116269140833,3.1754503861992758,Yes
8.247514822635662,2.5353384264326344,Yes
8.261954631105406,2.6840607429321204,Yes
9.435673480470129,4.461543349888547,Yes
5.8593659493955395,3.2280993812837875,No
1.996548031138996,4.942825250503985,No
8.221390698356062,2.6469826141997252,Yes
5.792328853136862,1.7671279640653315,No
8.019378295096994,2.2233045760060306,Yes
7.8823693704151365,2.0390997325742335,Yes
4.988665801868223,3.2799038345373908,No
8.311712207308902,2.56960790924792,Yes
8.542882093081154,3.110342357633648,Yes
7.616167344419096,2.0911716223525154,No
8.2804765500065,2.6530971018828877,Yes
8.371497571257036,2.5931857419603768,Yes
7.567273651608344,1.3998649412656285,Yes
3.1294391078052,4.544720666767988,No
8.572054222919476,3.2298756370217134,Yes
9.355670372616197,4.416944601267616,Yes
6.167264601355605,2.142335850295459,No
7.125343712861653,0.6853010554708576,Yes
8.254541569983877,2.4482569712365527,Yes
8.37630079085775,2.6697703793240697,Yes
6.953083680399062,0.5987800917140342,Yes
4.170426495554235,4.8151118282282805,No
8.03236673279818,2.189867441393704,Yes
8.162973368642469,2.554899999911928,Yes
9.446660940810286,4.497025383932299,Yes
3.640039698805891,3.5796836192726498,No
8.06688245414825,2.4310329258359995,Yes
5.28904415053575,2.892662034177712,No
8.742437469463592,3.2669714774735326,Yes
6.987732023196078,3.053070886955486,No
5.779870584928451,3.0290729695878484,No
