Age,Salary,YearsExperience,NumCertifications,JobSatisfaction,JobTitle,Education,City,Promotion
28,132612,9,2,1,Data Engineer,High School,Seattle,Got Promotion
41,116641,8,4,3,Data Scientist,Master's,Chicago,No Promotion
36,113811,11,1,6,Web developer,PhD,Chicago,Got Promotion
32,102160,2,2,6,Data Engineer,High School,Austin,No Promotion
29,101313,7,4,7,Product Manager,Bachelor's,San Francisco,No Promotion
42,113232,3,2,1,Data Analyst,High School,San Francisco,No Promotion
28,65417,5,1,7,Data Analyst,High School,New York,Got Promotion
47,74729,9,4,2,Data Scientist,Master's,New York,No Promotion
40,80099,5,0,6,Web developer,Bachelor's,New York,No Promotion
44,148134,2,1,8,Product Manager,Bachelor's,Austin,Got Promotion
32,79961,13,3,5,Business Analyst,Master's,Seattle,Got Promotion
32,62602,4,3,10,Web developer,High School,New York,Got Promotion
45,59256,11,1,3,Product Manager,PhD,New York,No Promotion
42,136120,2,3,8,Data Analyst,Master's,New York,Got Promotion
25,84681,10,1,8,Software Engineer,High School,Austin,No Promotion
29,141328,14,0,4,Data Scientist,PhD,Chicago,No Promotion
45,137440,10,1,8,Software Engineer,Master's,Seattle,Got Promotion
24,114789,14,4,5,Business Analyst,Master's,Chicago,No Promotion
43,93361,0,4,5,Product Manager,Bachelor's,San Francisco,No Promotion
42,114503,6,2,3,Business Analyst,Bachelor's,San Francisco,No Promotion
23,84540,3,3,7,Software Engineer,Bachelor's,New York,Got Promotion
45,76536,13,3,9,Product Manager,PhD,Chicago,No Promotion
33,134700,6,1,9,Web developer,Master's,Austin,No Promotion
27,113043,2,3,1,Data Engineer,Bachelor's,Seattle,No Promotion
23,128532,11,4,1,Data Engineer,Bachelor's,Chicago,No Promotion
49,106575,14,0,10,Web developer,Master's,Chicago,Got Promotion
42,52871,14,1,5,Business Analyst,PhD,Seattle,No Promotion
22,96002,10,3,1,Data Engineer,Bachelor's,Chicago,No Promotion
33,99812,4,4,4,Data Engineer,High School,Chicago,Got Promotion
47,72626,4,2,1,Data Analyst,PhD,Seattle,No Promotion
43,109979,14,3,2,Data Engineer,Bachelor's,Austin,No Promotion
33,126057,12,0,2,Data Analyst,High School,Seattle,No Promotion
46,116668,1,0,4,Data Scientist,Bachelor's,New York,Got Promotion
38,149003,10,3,8,Data Analyst,PhD,New York,No Promotion
48,130070,9,3,2,Data Analyst,Master's,New York,No Promotion
48,139390,11,4,9,Software Engineer,Master's,New York,No Promotion
31,92998,1,3,9,Data Analyst,PhD,San Francisco,No Promotion
49,113814,3,2,2,Data Analyst,Bachelor's,Austin,Got Promotion
49,95607,14,4,1,Software Engineer,PhD,San Francisco,Got Promotion
37,57812,3,1,10,Data Analyst,High School,Chicago,No Promotion
36,111844,3,2,10,Data Engineer,Bachelor's,Chicago,No Promotion
36,120093,5,4,9,Web developer,PhD,Seattle,Got Promotion
40,52179,1,4,2,Data Analyst,Master's,New York,No Promotion
33,93798,5,0,8,Data Scientist,PhD,Seattle,No Promotion
44,124601,6,4,3,Data Analyst,Bachelor's,Chicago,Got Promotion
41,58275,10,2,1,Data Analyst,PhD,New York,No Promotion
46,100574,9,3,1,Data Scientist,Master's,Austin,No Promotion
24,97857,2,2,10,Web developer,High School,Chicago,No Promotion
26,70700,10,1,2,Software Engineer,PhD,Seattle,Got Promotion
40,89464,11,4,7,Data Engineer,PhD,Seattle,No Promotion
28,92351,7,4,6,Web developer,High School,Chicago,Got Promotion
42,143330,1,4,2,Data Analyst,PhD,San Francisco,Got Promotion
30,144319,10,4,4,Data Engineer,Master's,Austin,Got Promotion
28,132534,7,0,2,Business Analyst,High School,Chicago,Got Promotion
39,63869,12,0,1,Data Engineer,Master's,Chicago,No Promotion
25,110315,10,3,3,Software Engineer,Master's,Seattle,Got Promotion
46,143688,4,4,4,Software Engineer,Master's,New York,No Promotion
49,70954,1,1,10,Web developer,Bachelor's,New York,Got Promotion
35,81555,6,3,5,Data Analyst,High School,New York,No Promotion
39,113353,13,4,5,Data Scientist,Bachelor's,Seattle,No Promotion
47,132190,1,0,7,Software Engineer,Bachelor's,New York,No Promotion
30,95026,13,1,10,Data Scientist,PhD,Chicago,Got Promotion
47,96976,5,3,8,Web developer,High School,San Francisco,No Promotion
42,130578,9,1,9,Web developer,PhD,San Francisco,No Promotion
23,141502,2,4,7,Business Analyst,Bachelor's,San Francisco,Got Promotion
41,95095,8,2,5,Data Scientist,PhD,New York,No Promotion
49,64270,2,1,9,Web developer,Master's,San Francisco,No Promotion
36,80908,10,1,8,Web developer,Bachelor's,New York,No Promotion
49,65523,14,0,10,Web developer,Master's,Chicago,No Promotion
28,112433,11,4,9,Product Manager,High School,Chicago,No Promotion
33,97068,11,1,10,Web developer,PhD,Seattle,Got Promotion
29,69991,2,4,8,Web developer,Bachelor's,Seattle,No Promotion
36,60775,4,0,6,Data Scientist,High School,Austin,No Promotion
24,127801,6,4,4,Software Engineer,Master's,Chicago,No Promotion
35,134995,13,0,9,Data Scientist,PhD,New York,Got Promotion
38,111250,7,0,9,Data Scientist,PhD,Austin,No Promotion
25,66673,11,3,10,Product Manager,Bachelor's,Chicago,No Promotion
39,77056,10,4,10,Product Manager,PhD,New York,No Promotion
29,56614,6,2,9,Data Analyst,PhD,Chicago,Got Promotion
25,57415,8,3,10,Software Engineer,Master's,Chicago,Got Promotion
23,138691,4,0,3,Web developer,Master's,New York,No Promotion
27,93884,9,2,3,Data Analyst,Master's,Chicago,No Promotion
43,66964,10,1,6,Web developer,High School,Chicago,No Promotion
31,87726,14,1,6,Web developer,High School,Chicago,No Promotion
25,87044,2,3,6,Product Manager,PhD,Seattle,No Promotion
43,107149,5,2,5,Web developer,High School,San Francisco,No Promotion
39,87544,4,4,5,Web developer,Bachelor's,Chicago,No Promotion
47,99976,11,2,2,Data Scientist,Master's,New York,Got Promotion
33,82252,3,3,7,Product Manager,High School,Chicago,No Promotion
23,53832,11,4,4,Business Analyst,PhD,Seattle,No Promotion
31,140811,1,4,3,Data Scientist,Master's,Seattle,No Promotion
25,130437,6,1,8,Data Analyst,High School,Chicago,No Promotion
35,84148,12,2,4,Data Scientist,Master's,Austin,No Promotion
37,111240,4,4,4,Business Analyst,High School,San Francisco,No Promotion
36,138454,3,3,8,Product Manager,PhD,New York,Got Promotion
29,135076,11,1,1,Software Engineer,High School,New York,Got Promotion
35,127116,13,4,9,Web developer,High School,New York,Got Promotion
44,103459,7,2,7,Data Engineer,High School,New York,No Promotion
49,88402,8,1,2,Software Engineer,Master's,Seattle,Got Promotion
46,107727,8,2,6,Software Engineer,High School,San Francisco,No Promotion
29,88578,2,2,8,Web developer,High School,Chicago,No Promotion
42,140453,2,2,5,Product Manager,High School,Chicago,No Promotion
37,72318,4,1,6,Software Engineer,Master's,Austin,No Promotion
34,125715,4,4,10,Business Analyst,PhD,Chicago,Got Promotion
39,127787,9,0,8,Web developer,PhD,San Francisco,No Promotion
36,135029,1,4,6,Product Manager,PhD,Chicago,No Promotion
42,70466,0,1,9,Software Engineer,High School,Seattle,No Promotion
45,145742,7,0,9,Web developer,Master's,Chicago,Got Promotion
47,95475,2,0,9,Data Engineer,PhD,New York,Got Promotion
46,110142,0,0,6,Data Analyst,PhD,New York,No Promotion
49,135160,0,3,9,Product Manager,PhD,New York,No Promotion
49,76564,10,1,3,Product Manager,Bachelor's,New York,Got Promotion
49,72412,14,3,5,Data Scientist,Master's,Seattle,No Promotion
34,143526,1,0,2,Web developer,Bachelor's,Seattle,No Promotion
30,101001,5,3,8,Software Engineer,High School,Seattle,No Promotion
36,107649,5,3,4,Data Analyst,PhD,Chicago,No Promotion
34,110957,13,1,6,Web developer,High School,New York,No Promotion
22,85517,2,2,6,Data Engineer,Master's,Austin,No Promotion
46,63156,11,3,5,Business Analyst,High School,Austin,No Promotion
28,73064,3,3,1,Product Manager,High School,New York,Got Promotion
30,75711,11,0,7,Business Analyst,PhD,San Francisco,No Promotion
45,80106,12,0,10,Business Analyst,Master's,Chicago,No Promotion
22,115458,1,0,8,Business Analyst,High School,Austin,No Promotion
33,66589,1,4,1,Data Scientist,Bachelor's,Seattle,No Promotion
29,139272,14,3,10,Web developer,PhD,San Francisco,No Promotion
45,136511,6,0,7,Business Analyst,Bachelor's,Seattle,Got Promotion
32,57214,12,1,4,Software Engineer,PhD,San Francisco,No Promotion
40,146117,0,4,6,Software Engineer,High School,San Francisco,No Promotion
38,135731,6,2,9,Data Analyst,PhD,Chicago,No Promotion
29,77127,13,3,5,Data Analyst,High School,Seattle,No Promotion
24,55141,11,3,8,Data Engineer,Bachelor's,Seattle,Got Promotion
24,78884,13,1,5,Business Analyst,High School,Austin,No Promotion
22,140421,11,2,2,Business Analyst,PhD,New York,Got Promotion
48,52708,13,2,4,Data Scientist,PhD,New York,Got Promotion
26,68375,0,4,2,Web developer,PhD,Austin,No Promotion
31,65088,13,3,7,Business Analyst,Bachelor's,San Francisco,No Promotion
28,107615,5,0,7,Business Analyst,Master's,Austin,No Promotion
47,95046,2,1,3,Web developer,Bachelor's,Austin,Got Promotion
30,60014,7,1,7,Business Analyst,High School,Seattle,No Promotion
49,114425,5,1,1,Product Manager,High School,Austin,No Promotion
28,53273,10,1,1,Product Manager,Bachelor's,San Francisco,No Promotion
30,97135,1,0,9,Data Scientist,Bachelor's,New York,No Promotion
29,80881,7,0,6,Data Scientist,High School,Chicago,Got Promotion
33,147022,4,4,5,Software Engineer,High School,Austin,No Promotion
23,128077,7,3,6,Data Scientist,High School,Austin,No Promotion
22,58712,7,0,6,Data Engineer,Master's,Seattle,No Promotion
37,124704,5,4,1,Software Engineer,Master's,Seattle,No Promotion
44,102874,1,2,5,Web developer,Bachelor's,Austin,No Promotion
44,119087,7,3,9,Business Analyst,Bachelor's,Austin,No Promotion
45,62297,14,0,4,Data Scientist,Master's,San Francisco,No Promotion
26,77128,14,2,3,Data Engineer,PhD,New York,No Promotion
24,118368,10,4,1,Data Scientist,Master's,New York,No Promotion
33,144019,5,0,2,Data Scientist,Bachelor's,Chicago,No Promotion
29,137599,5,0,3,Software Engineer,Master's,New York,Got Promotion
43,138499,7,2,4,Web developer,PhD,Chicago,Got Promotion
48,128958,0,0,7,Web developer,Bachelor's,Seattle,No Promotion
24,82920,1,1,6,Software Engineer,High School,Chicago,No Promotion
22,61156,11,0,8,Data Analyst,Bachelor's,Chicago,Got Promotion
24,61108,11,3,9,Software Engineer,Master's,New York,No Promotion
26,81845,8,2,6,Software Engineer,Master's,Austin,Got Promotion
36,52800,10,3,7,Product Manager,PhD,Seattle,Got Promotion
35,92712,11,4,4,Data Scientist,Master's,San Francisco,No Promotion
24,52610,7,3,2,Software Engineer,PhD,Chicago,No Promotion
